City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,tofol,5.3248,163.0078,28.24,80,56,5.91,FM,1715116493
302,kirakira,-10.4544,161.9205,27.6,83,100,3.26,SB,1715116493
303,mongoumba,3.6415,18.5936,24.44,82,100,1.6,CF,1715116493
304,sisimiut,66.9395,-53.6735,-3.18,82,100,1.2,GL,1715116493
305,qamdo,31.1667,97.2333,2.23,78,43,1.29,CN,1715116493
306,sinabang,2.4803,96.3801,26.85,81,94,1.26,ID,1715116494
307,burutu,5.3509,5.5076,26.33,88,100,1.71,NG,1715116494
308,maksatikha,57.797,35.8825,-2.06,79,7,2.14,RU,1715116494
309,kasungu,-13.0333,33.4833,16.97,73,0,1.39,MW,1715116494
310,tazacorte,28.629,-17.9293,21.19,91,100,3.6,ES,1715116494
311,murghob,38.1702,73.9667,-1.77,44,63,2.59,TJ,1715116494
312,boende,-0.2167,20.8667,25.67,73,93,1.2,CD,1715116494
313,kwolla,8.9333,9.2833,28.7,62,100,1.94,NG,1715116494
314,touros,-5.1989,-35.4608,26.02,83,71,3.91,BR,1715116458
315,duba,27.3513,35.6901,24.28,47,0,2.55,SA,1715116495
316,kudahuvadhoo,2.6708,72.8944,29.73,78,61,5.64,MV,1715116386
317,saham,24.1722,56.8886,33.01,44,7,1.63,OM,1715116495
318,kailua-kona,19.6406,-155.9956,27.98,75,0,4.12,US,1715116361
319,yadrin,55.9405,46.2062,2.31,98,100,5.31,RU,1715116495
320,axum,14.1245,38.7244,18.63,50,12,2.11,ET,1715116495
321,raja,8.4596,25.678,30.44,28,63,1.32,SS,1715116495
322,susuman,62.7833,148.1667,0.55,75,83,2.24,RU,1715116496
323,george town,5.4112,100.3354,26.97,90,20,1.54,MY,1715116475
324,hwange,-18.3693,26.5019,21.86,49,1,1.13,ZW,1715116496
325,crane,31.3974,-102.3501,32.82,9,0,7.08,US,1715116496
326,usinsk,65.9939,57.5281,-4.4,90,100,6.26,RU,1715116496
327,rocky mountain house,52.3668,-114.9188,8.4,58,100,8.36,CA,1715116239
328,morococha,-11.5997,-76.1411,9.67,47,98,3.4,PE,1715116496
